Dataset Name,Model,Learning Rate,Optimizer,Loss,Epochs,Batch Size,All,Train,Test,Val,Train Accuracy,Train Loss,Val Accuracy,Val Loss,Test Accuracy,Test Loss,Normalized
S2MTCP,blue_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,6,5,15030,12776,744,1510,0.9926424622535706,0.037417031824588776,0.9821192026138306,0.06304679065942764,0.9811828136444092,0.05063465237617493,True
Onera,blue_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,50,5,240,0,0,0,0.9458333253860474,0.2367209941148758,0,0,0,0,True
S2MTCP,green_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,6,5,15030,12776,744,1510,0.9852849245071411,0.052155837416648865,0.9827814698219299,0.06153792142868042,0.9811828136444092,0.0939774289727211,True
Onera,green_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,50,5,240,0,0,0,0.9583333134651184,0.18008163571357727,0,0,0,0,True
S2MTCP,rgbvnir_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,6,5,15011,12759,743,1509,0.9952190518379211,0.033288273960351944,0.9662027955055237,0.6348158121109009,0.9609690308570862,0.693528413772583,True
Onera,rgbvnir_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,50,5,240,0,0,0,0.9333333373069763,1.7534178495407104,0,0,0,0,True
S2MTCP,123_rgbvnir_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,6,5,15011,12759,743,1509,0.9878517389297485,0.046174343675374985,0.9721670150756836,0.08796323090791702,0.9811574816703796,0.09201733022928238,True
Onera,123_rgbvnir_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,50,5,240,0,0,0,0.9375,0.184507355093956,0,0,0,0,True
S2MTCP,2022-04-06_rgb_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,6,5,15011,12759,743,1509,0.9954541921615601,0.030352255329489708,0.9555997252464294,0.28570476174354553,0.9609690308570862,0.303770512342453,True
Onera,2022-04-06_rgb_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,50,5,240,0,0,0,0.9375,0.7582640051841736,0,0,0,0,True
S2MTCP,2022-04-12_eq20_0.1_0.0001_0.001_10.h5,0.001,Adam,binary_crossentropy,6,5,15030,12776,744,1510,results_train[1],results_train[0],0.9549669027328491,0.21482320129871368,0.9610214829444885,0.22210504114627838,True
S2MTCP,1238_2022-04-12_eq20_0.1_0.0001_0.001_10.h5,0.001,Adam,binary_crossentropy,6,5,15011,12759,743,1509,results_train[1],results_train[0],0.9662027955055237,0.1563073694705963,0.9650067090988159,0.1413501501083374,True
S2MTCP,color_shifted_2022-04-13_default_rgb_0.1_0.0001_0.001_50.h5,0.001,Adam,binary_crossentropy,6,5,15200,12920,752,1528,results_train[1],results_train[0],0.9528796076774597,0.6242580413818359,0.9507978558540344,1.0989923477172852,-
S2MTCP,01mmm2023_ptt1_2022-09-07_rgb_0.1_0.0001_0.001_50_STAND.h5,0.001,Adam,binary_crossentropy,6,5,15030,12776,744,1510,results_train[1],results_train[0],0.9814569354057312,0.05956574156880379,0.9798387289047241,0.11496163159608841,STAND
S2MTCP,01mmm2023_ptt1_2022-09-07_rgb_0.1_0.0001_0.001_50_STAND.h5,0.001,Adam,binary_crossentropy,6,5,15030,12776,744,1510,results_train[1],results_train[0],0.9814569354057312,0.05956574156880379,0.9798387289047241,0.11496163159608841,STAND
S2MTCP,01mmm2023_ptt1_2022-09-07_rgb_0.1_0.0001_0.001_50_STAND.h5,0.001,Adam,binary_crossentropy,6,5,15030,12776,744,1510,0.9960864186286926,0.040119826793670654,0.9814569354057312,0.05956574156880379,0.9798387289047241,0.11496163159608841,STAND
S2MTCP,01mmm2023_ptt1_2022-09-07_rgb_0.1_0.0001_0.001_50_STAND.h5,0.001,Adam,binary_crossentropy,16,5,15030,12776,744,1510,0.9960864186286926,0.040119826793670654,0.9814569354057312,0.05956574156880379,0.9798387289047241,0.11496163159608841,STAND
Onera,01mmm2023_ptt1_2022-09-07_rgb_0.1_0.0001_0.001_50_STAND.h5,0.001,Adam,binary_crossentropy,16,5,240,0,0,0,0.9458333253860474,0.2388608157634735,0,0,0,0,STAND
S2MTCP,01mmm2023_ptt1_2024-01-20_rgb_0.1_0.0001_0.001_5_STAND.h5,0.001,Adam,binary_crossentropy,16,5,15030,12776,744,1510,0.9780839085578918,0.0893971174955368,0.9509933590888977,0.16142456233501434,0.9610214829444885,0.12786294519901276,STAND
S2MTCP,01mmm2023_ptt1_2024-01-20_rgb_0.1_0.0001_0.001_5_STAND.h5,0.001,Adam,binary_crossentropy,16,5,15030,12776,744,1510,0.9706481099128723,0.08776428550481796,0.9470198750495911,0.1996607631444931,0.9569892287254333,0.19770078361034393,STAND
Onera,01mmm2023_ptt1_2024-01-20_rgb_0.1_0.0001_0.001_5_STAND.h5,0.001,Adam,binary_crossentropy,16,5,15200,0,0,0,0.9613815546035767,0.1136210486292839,0,0,0,0,STAND
S2MTCP,01mmm2023_ptt1_2024-01-20_rgb_0.1_0.0001_0.001_5_STAND.h5,0.001,Adam,binary_crossentropy,16,5,15030,12776,744,1510,0.9850500822067261,0.10558367520570755,0.9768211841583252,0.1094885990023613,0.9677419066429138,0.11477737873792648,STAND
Onera,01mmm2023_ptt1_2024-01-20_rgb_0.1_0.0001_0.001_5_STAND.h5,0.001,Adam,binary_crossentropy,16,5,15200,0,0,0,0.9688816070556641,0.165390282869339,0,0,0,0,STAND
